Month,Scheduled Operator,Country to/from,Passengers In,Freight In,Mail In,Passengers Out,Freight Out,Mail Out,Year
Jan009,Eva Air,Taiwan,"4,817",69.2,4.4,"3,363",165.3,2.3,2009
Jan009,Federal Express Corporation,Philippines,..,..,..,..,251.3,0.0,2009
Jan009,Federal Express Corporation,USA,..,692.4,20.7,..,..,..,2009
Jan009,Garuda Indonesia,Indonesia,"24,994",161.4,7.3,"17,474",106.5,0.0,2009
Jan009,Hawaiian Airlines,USA,"2,607",2.0,1.5,"1,950",23.5,0.0,2009
Jan009,JALways,Japan,"19,355",199.9,82.8,"16,434",159.0,0.5,2009
Jan009,Jetstar,Indonesia,"14,771",175.6,0.0,"12,261",10.4,0.2,2009
Jan009,Jetstar,Japan,"21,198",100.4,26.3,"19,116",117.4,6.0,2009
Jan009,Jetstar,New Zealand,"17,054",47.1,0.0,"16,873",20.4,0.0,2009
Jan009,Jetstar,Singapore,"13,745",16.5,0.0,"10,829",4.6,11.4,2009
Jan009,Jetstar,Thailand,"7,186",93.5,1.2,"6,192",70.1,1.0,2009
Jan009,Jetstar,USA,"5,569",43.3,0.5,"4,149",52.9,0.4,2009
Jan009,Jetstar,Vietnam,"3,067",4.4,0.0,"2,846",0.2,0.0,2009
Jan009,Korean Air,Korea,"18,508",579.5,70.2,"14,281",430.9,16.0,2009
Jan009,LAN Airlines,Chile,"2,995",129.1,1.0,"2,477",44.0,3.6,2009
Jan009,LAN Airlines,New Zealand,"3,024",22.2,0.0,"3,140",50.6,0.0,2009
Jan009,Malaysia Airlines,Malaysia,"40,337","1,980.2",11.8,"33,459","1,550.7",0.0,2009
Jan009,Our Airline,Nauru,295,0.6,0.0,391,12.6,0.0,2009
Jan009,Our Airline,Solomon Islands,387,0.0,0.0,389,0.0,0.0,2009
Jan009,OzJet,Indonesia,"1,331",0.0,0.0,698,0.0,0.0,2009
Jan009,Pacific Air Express,Solomon Islands,..,2.8,0.0,..,38.5,0.0,2009
Jan009,Philippine Airlines,Philippines,"8,624",70.3,5.4,"5,500",32.1,0.0,2009
Jan009,Qantas Airways,Argentina,"3,755",7.8,0.0,"2,668",6.3,0.8,2009
Jan009,Qantas Airways,China,"9,575",333.0,15.5,"7,297",169.3,9.2,2009
Jan009,Qantas Airways,Fiji,227,0.0,0.0,..,..,..,2009
Jan009,Qantas Airways,Germany,"3,966",262.9,3.7,"4,593",18.7,49.1,2009
Jan009,Qantas Airways,Hong Kong (SAR),"34,784",828.6,8.9,"25,314","1,326.6",63.0,2009
Jan009,Qantas Airways,India,"2,320",33.0,0.0,"1,788",10.4,5.0,2009
Jan009,Qantas Airways,Indonesia,"3,656",40.1,0.0,"3,078",85.5,3.2,2009
Jan009,Qantas Airways,Japan,"11,388",120.1,54.1,"10,373",84.0,75.2,2009
Jan009,Qantas Airways,New Caledonia,"2,953",1.4,0.2,"2,415",9.5,2.5,2009
Jan009,Qantas Airways,New Zealand,"58,995","1,297.5",0.0,"55,872","1,078.3",145.2,2009
Jan009,Qantas Airways,Philippines,"3,800",29.1,5.1,"2,909",57.0,2.1,2009
Jan009,Qantas Airways,Singapore,"47,056",957.5,34.1,"39,136","1,831.1",153.1,2009
Jan009,Qantas Airways,South Africa,"7,534",74.2,4.2,"6,970",33.4,9.5,2009
Jan009,Qantas Airways,Thailand,"3,430",111.1,7.7,"3,336",136.7,15.3,2009
Jan009,Qantas Airways,UK,"19,705",327.5,66.7,"18,843",67.1,147.3,2009
Jan009,Qantas Airways,United Arab Emirates,..,..,..,..,0.0,0.0,2009
Jan009,Qantas Airways,USA,"50,608","1,387.5",186.8,"40,914",384.0,172.3,2009
Jan009,Royal Brunei Airlines,Brunei,"8,683",62.2,0.1,"6,045",122.6,0.0,2009
Jan009,Royal Brunei Airlines,New Zealand,"1,549",46.1,0.0,"1,589",36.9,0.0,2009
Jan009,Singapore Airlines,New Zealand,..,44.4,0.0,..,233.7,0.0,2009
Jan009,Singapore Airlines,Singapore,"141,528","3,664.5",143.7,"111,712","5,125.6",0.7,2009
Jan009,SkyAirWorld,Solomon Islands,393,0.0,0.0,305,0.0,0.0,2009
Jan009,Solomon Airlines,Solomon Islands,401,2.7,0.0,335,4.6,0.0,2009
Jan009,South African Airways,South Africa,"6,562",27.0,3.2,"5,675",85.1,1.6,2009
Jan009,Tasman Cargo Airlines,New Zealand,..,178.1,0.0,..,206.7,0.0,2009
Jan009,Thai Airways International,Thailand,"49,994","1,265.9",175.1,"35,166","1,717.2",3.3,2009
Jan009,Tiger Airways,Singapore,"5,128",0.0,0.0,"3,969",0.0,0.0,2009
Jan009,United Airlines,USA,"22,081",87.8,75.1,"20,526",377.0,9.9,2009
Jan009,United Parcel Service,Hong Kong (SAR),..,..,..,..,3.6,0.0,2009
Jan009,United Parcel Service,Singapore,..,..,..,..,72.6,0.0,2009
Jan009,United Parcel Service,USA,..,835.9,0.0,..,..,..,2009
Jan009,Vietnam Airlines,Vietnam,"11,218",130.3,0.0,"10,097",54.1,0.0,2009
Jan009,Virgin Atlantic Airways,Hong Kong (SAR),"5,610",200.8,0.0,"2,839",128.0,0.0,2009
Jan009,Virgin Atlantic Airways,UK,"3,256",19.2,0.0,"3,791",12.5,0.0,2009
Jan009,Virgin Australia,Fiji,"8,839",5.8,0.0,"6,329",33.2,0.0,2009
Jan009,Virgin Australia,Indonesia,"7,226",0.0,0.0,"6,347",0.0,0.0,2009
Jan009,Virgin Australia,New Zealand,"40,708",32.6,0.0,"41,058",35.5,0.0,2009
Jan009,Virgin Australia,Papua New Guinea,"1,284",0.0,0.0,"1,112",4.1,0.0,2009
Jan009,Virgin Australia,Solomon Islands,634,0.0,0.0,615,5.8,0.0,2009
Jan009,Virgin Australia,Tonga,"1,291",3.9,0.0,959,1.1,0.0,2009
Jan009,Virgin Australia,Vanuatu,"3,389",0.9,0.0,"2,806",3.2,0.0,2009
Jan009,Virgin Samoa,Western Samoa,"2,443",0.7,0.0,"1,605",1.3,0.0,2009
Feb009,Aerolineas Argentinas,Argentina,"2,600",4.0,0.7,"2,226",8.8,0.0,2009
Feb009,Aerolineas Argentinas,New Zealand,481,113.4,0.0,"1,299",95.1,0.0,2009
Feb009,Air Caledonie,New Caledonia,"3,248",1.7,0.7,"5,939",56.6,1.9,2009
Feb009,Air Canada,Canada,"5,649",175.6,0.0,"4,823",164.7,0.0,2009
Feb009,Air China,China,"11,072",177.4,14.5,"9,063",191.7,2.3,2009
Feb009,Air Mauritius,Mauritius,"2,183",33.2,0.4,"1,181",49.7,0.0,2009
Feb009,Air New Zealand,Germany,..,12.2,0.0,..,..,..,2009
Feb009,Air New Zealand,New Zealand,"79,791","1,959.9",229.2,"83,383","1,304.0",3.8,2009
Feb009,Air New Zealand,USA,..,219.6,0.0,..,..,..,2009
Feb009,Air Niugini,Papua New Guinea,"6,022",38.2,0.9,"6,102",236.8,5.1,2009
Feb009,Air Pacific,Fiji,"9,627",207.9,0.0,"8,864",270.3,14.7,2009
Feb009,Air Tahiti Nui,Tahiti,618,11.0,0.0,659,30.6,0.0,2009
Feb009,Air Vanuatu,Vanuatu,"2,696",9.0,0.0,"2,722",43.5,0.0,2009
Feb009,AirAsia X,Malaysia,"17,063",104.4,0.0,"10,837",0.0,0.0,2009
Feb009,Airlines PNG,Papua New Guinea,335,0.8,0.0,330,5.2,0.0,2009
Feb009,Asiana Airlines,Korea,"7,744",184.9,6.9,"6,736",70.1,0.0,2009
Feb009,British Airways,Singapore,"1,921",102.7,0.0,"2,083",181.9,0.0,2009
Feb009,British Airways,Thailand,"3,535",31.1,0.2,"3,514",35.1,0.0,2009
Feb009,British Airways,UK,"9,093",311.5,58.8,"6,196",99.6,0.0,2009
Feb009,Cargolux Airlines Intl,Luxembourg,..,95.5,0.0,..,0.0,0.0,2009
Feb009,Cargolux Airlines Intl,New Zealand,..,..,..,..,111.5,0.0,2009
Feb009,Cargolux Airlines Intl,Singapore,..,41.3,0.0,..,..,..,2009
Feb009,Cargolux Airlines Intl,USA,..,..,..,..,40.6,0.0,2009
Feb009,Cathay Pacific Airways,Hong Kong (SAR),"64,326","2,387.6",117.8,"45,682","3,716.2",26.3,2009
Feb009,China Airlines,Taiwan,"8,062",66.9,14.6,"6,179",29.2,0.0,2009
Feb009,China Eastern Airlines,China,"10,789",152.1,6.2,"7,195",107.4,1.9,2009
Feb009,China Southern Airlines,China,"6,751",147.6,11.1,"4,639",6.2,3.5,2009
Feb009,Continental Micronesia,Guam,"1,097",0.3,0.0,"1,066",2.0,0.0,2009
Feb009,Emirates,New Zealand,"20,913","1,018.1",0.0,"19,364",704.3,0.2,2009
Feb009,Emirates,Singapore,"2,447",89.6,22.6,"2,008",322.2,0.0,2009
Feb009,Emirates,Thailand,"1,411",2.8,0.0,"1,777",0.4,0.0,2009
Feb009,Emirates,United Arab Emirates,"48,776","1,389.9",183.3,"36,122","2,085.9",0.5,2009
Feb009,Etihad Airways,Singapore,918,44.0,0.0,424,58.4,0.0,2009
Feb009,Etihad Airways,United Arab Emirates,"12,513",295.1,10.7,"8,674",489.1,13.5,2009
Feb009,Eva Air,Taiwan,"2,824",82.4,4.0,"2,445",32.5,1.0,2009
Feb009,Federal Express Corporation,China,..,..,..,..,23.2,0.0,2009
Feb009,Federal Express Corporation,Philippines,..,..,..,..,38.2,0.0,2009
Feb009,Federal Express Corporation,USA,..,762.0,17.0,..,..,..,2009
Feb009,Garuda Indonesia,Indonesia,"11,576",158.5,8.6,"9,435",76.5,0.0,2009
Feb009,Hawaiian Airlines,USA,"1,519",4.1,2.3,"1,462",32.0,0.0,2009
Feb009,JALways,Japan,"17,709",223.7,69.0,"16,211",177.3,0.2,2009
Feb009,Jetstar,Indonesia,"10,943",120.3,0.0,"10,649",12.7,0.3,2009
Feb009,Jetstar,Japan,"19,795",124.1,30.0,"17,893",97.1,5.3,2009
Feb009,Jetstar,New Zealand,"13,851",36.1,0.0,"15,368",22.4,0.0,2009
Feb009,Jetstar,Singapore,"11,207",17.4,0.0,"7,802",3.8,10.0,2009
Feb009,Jetstar,Thailand,"5,833",119.1,0.7,"4,350",80.5,1.1,2009
Feb009,Jetstar,USA,"2,755",75.2,0.3,"2,405",55.8,0.3,2009
Feb009,Jetstar,Vietnam,"3,073",0.9,0.0,"1,874",0.0,0.0,2009
Feb009,Korean Air,Korea,"16,003",604.5,79.5,"12,227",405.9,2.8,2009
Feb009,LAN Airlines,Chile,"2,590",130.6,1.1,"2,977",80.8,3.1,2009
Feb009,LAN Airlines,New Zealand,"1,186",38.7,0.0,"2,623",38.1,0.0,2009
Feb009,Malaysia Airlines,Malaysia,"32,092","2,078.4",12.2,"26,188","1,454.6",0.0,2009
Feb009,Our Airline,Nauru,204,0.5,0.0,226,10.9,0.0,2009
Feb009,Our Airline,Solomon Islands,441,0.0,0.0,532,0.0,0.0,2009
Feb009,OzJet,Indonesia,185,0.0,0.0,260,0.0,0.0,2009
Feb009,Pacific Air Express,Solomon Islands,..,1.8,0.0,..,45.7,0.0,2009
Feb009,Philippine Airlines,Philippines,"6,270",91.5,5.4,"5,088",92.1,0.0,2009
Feb009,Qantas Airways,Argentina,"2,875",13.6,0.0,"3,738",19.8,0.8,2009
Feb009,Qantas Airways,China,"8,613",399.7,16.6,"7,071",191.8,8.4,2009
Feb009,Qantas Airways,Germany,"3,782",170.7,3.7,"3,696",22.0,44.4,2009
Feb009,Qantas Airways,Hong Kong (SAR),"27,598",728.6,11.3,"23,416","1,032.7",55.8,2009
Feb009,Qantas Airways,India,"2,140",47.8,0.0,"2,005",23.8,4.2,2009
Feb009,Qantas Airways,Indonesia,"3,921",44.6,0.0,"2,657",129.7,3.1,2009
Feb009,Qantas Airways,Japan,"10,360",111.3,50.3,"9,175",100.9,55.2,2009
Feb009,Qantas Airways,New Caledonia,"1,650",0.7,0.2,"2,411",12.1,2.0,2009
Feb009,Qantas Airways,New Zealand,"46,456","1,387.8",0.0,"49,758","1,252.1",162.0,2009
Feb009,Qantas Airways,Philippines,"3,221",18.0,4.6,"3,180",47.0,2.2,2009
Feb009,Qantas Airways,Singapore,"39,065","1,131.0",30.3,"30,833","1,785.1",140.2,2009
Feb009,Qantas Airways,South Africa,"6,442",99.8,4.2,"5,343",88.0,9.4,2009
Feb009,Qantas Airways,Thailand,"4,595",94.0,5.7,"3,425",121.5,13.9,2009
Feb009,Qantas Airways,UK,"14,998",349.0,56.0,"13,666",105.6,131.7,2009
Feb009,Qantas Airways,USA,"41,074","1,348.6",169.2,"33,881",471.2,163.0,2009
Feb009,Royal Brunei Airlines,Brunei,"6,625",49.3,0.1,"3,822",105.9,0.0,2009
Feb009,Royal Brunei Airlines,New Zealand,"1,290",77.1,0.0,"1,083",56.4,0.0,2009
Feb009,Singapore Airlines,New Zealand,..,100.5,0.0,..,257.1,0.0,2009
Feb009,Singapore Airlines,Singapore,"108,146","3,690.3",112.5,"79,581","4,944.0",0.7,2009
Feb009,SkyAirWorld,Solomon Islands,89,0.0,0.0,73,0.0,0.0,2009
Feb009,Solomon Airlines,Solomon Islands,221,3.9,0.0,266,6.9,0.0,2009
Feb009,South African Airways,South Africa,"5,153",27.1,3.8,"3,524",121.4,1.6,2009
Feb009,Tasman Cargo Airlines,New Zealand,..,274.8,0.0,..,250.0,0.0,2009
Feb009,Thai Airways International,Thailand,"41,992","1,352.0",147.5,"29,722","1,885.6",2.4,2009
Feb009,Tiger Airways,Singapore,"4,486",0.0,0.0,"3,105",0.0,0.0,2009
Feb009,United Airlines,USA,"16,906",44.0,70.0,"13,420",501.8,10.4,2009
Feb009,United Parcel Service,Hong Kong (SAR),..,..,..,..,4.7,0.0,2009
Feb009,United Parcel Service,Singapore,..,..,..,..,93.2,0.0,2009
Feb009,United Parcel Service,USA,..,902.9,0.0,..,..,..,2009
Feb009,V Australia,USA,90,21.3,0.0,137,13.6,0.0,2009
Feb009,Vietnam Airlines,Vietnam,"10,179",137.5,0.0,"5,596",86.9,0.0,2009
Feb009,Virgin Atlantic Airways,Hong Kong (SAR),"4,028",383.8,0.0,"2,942",139.8,0.0,2009
Feb009,Virgin Atlantic Airways,UK,"3,852",33.3,0.0,"3,028",55.3,0.0,2009
Feb009,Virgin Australia,Fiji,"6,212",7.8,0.0,"6,798",29.9,0.0,2009
Feb009,Virgin Australia,Indonesia,"5,967",0.0,0.0,"6,554",0.0,0.0,2009
Feb009,Virgin Australia,New Zealand,"30,170",28.3,0.0,"34,989",37.3,0.0,2009
Feb009,Virgin Australia,Papua New Guinea,764,0.0,0.0,797,4.1,0.0,2009
Feb009,Virgin Australia,Solomon Islands,505,0.0,0.0,601,2.4,0.0,2009
Feb009,Virgin Australia,Tonga,955,3.9,0.0,860,0.9,0.0,2009
Feb009,Virgin Australia,Vanuatu,"1,962",2.0,0.0,"1,859",5.8,0.0,2009
Feb009,Virgin Samoa,Western Samoa,"1,488",0.7,0.0,"1,426",1.1,0.0,2009
Mar009,Aerolineas Argentinas,Argentina,"2,775",11.3,0.9,"1,781",9.8,0.0,2009
Mar009,Aerolineas Argentinas,New Zealand,713,56.2,0.0,"1,009",81.5,0.0,2009
Mar009,Air Caledonie,New Caledonia,"3,390",4.6,0.5,"3,215",72.5,1.0,2009
Mar009,Air Canada,Canada,"4,998",201.4,0.0,"5,515",145.0,0.0,2009
Mar009,Air Canada,USA,..,..,..,..,0.0,0.0,2009
Mar009,Air China,China,"9,346",306.0,24.5,"7,004",128.5,3.1,2009
Mar009,Air Mauritius,Mauritius,"1,494",32.5,0.7,"1,412",53.8,0.0,2009
Mar009,Air New Zealand,Germany,..,11.3,0.0,..,..,..,2009
Mar009,Air New Zealand,New Zealand,"95,820","1,663.5",238.3,"86,923","1,444.2",2.5,2009
Mar009,Air New Zealand,USA,..,164.1,0.0,..,..,..,2009
Mar009,Air Niugini,Papua New Guinea,"7,099",58.3,2.5,"7,342",219.1,12.9,2009
Mar009,Air Pacific,Fiji,"10,221",254.7,0.0,"10,976",236.3,12.0,2009
Mar009,Air Tahiti Nui,Tahiti,638,11.2,0.0,581,33.9,0.0,2009
Mar009,Air Vanuatu,Vanuatu,"3,098",14.2,0.0,"3,165",50.3,0.0,2009
Mar009,AirAsia X,Malaysia,"17,976",126.5,0.0,"17,132",19.6,0.0,2009
Mar009,Airlines PNG,Papua New Guinea,383,1.4,0.0,411,5.0,0.0,2009
Mar009,Asiana Airlines,Korea,"6,790",210.4,22.5,"6,419",95.9,0.0,2009
Mar009,British Airways,Singapore,"2,501",131.8,0.0,"2,477",302.2,0.0,2009
Mar009,British Airways,Thailand,"4,065",48.5,0.0,"3,955",57.4,0.0,2009
Mar009,British Airways,UK,"8,063",300.9,63.8,"9,490",135.3,0.0,2009
Mar009,Cargolux Airlines Intl,Luxembourg,..,102.8,0.0,..,0.0,0.0,2009
Mar009,Cargolux Airlines Intl,New Zealand,..,..,..,..,117.0,0.0,2009
Mar009,Cargolux Airlines Intl,Singapore,..,35.2,0.0,..,..,..,2009
Mar009,Cargolux Airlines Intl,USA,..,..,..,..,65.6,0.0,2009
Mar009,Cathay Pacific Airways,Hong Kong (SAR),"56,203","3,571.4",80.8,"53,132","3,803.0",26.8,2009
Mar009,China Airlines,Taiwan,"7,073",85.3,10.2,"7,303",40.2,0.4,2009
Mar009,China Eastern Airlines,China,"6,434",143.9,11.4,"4,487",89.3,3.4,2009
Mar009,China Southern Airlines,China,"6,586",361.1,18.7,"5,970",7.8,4.3,2009
Mar009,Continental Micronesia,Guam,"2,066",0.0,0.0,"1,913",7.5,0.0,2009
Mar009,Emirates,New Zealand,"24,712",946.9,0.1,"21,259",832.9,0.0,2009
Mar009,Emirates,Singapore,"2,322",68.5,26.3,"2,213",399.0,0.0,2009
Mar009,Emirates,Thailand,"2,640",0.0,0.0,"2,187",0.1,0.0,2009
Mar009,Emirates,United Arab Emirates,"43,264","1,344.4",203.3,"46,582","2,163.8",0.3,2009
Mar009,Etihad Airways,Singapore,732,55.9,0.0,781,78.9,0.0,2009
Mar009,Etihad Airways,United Arab Emirates,"10,121",461.9,18.4,"13,803",546.8,15.3,2009
Mar009,Eva Air,Taiwan,"2,372",84.9,4.3,"2,199",30.7,1.3,2009
Mar009,Federal Express Corporation,China,..,..,..,..,360.8,0.0,2009
Mar009,Federal Express Corporation,USA,..,748.2,11.5,..,..,..,2009
Mar009,Garuda Indonesia,Indonesia,"12,780",192.6,7.6,"12,948",108.9,0.0,2009
Mar009,Hawaiian Airlines,USA,"1,462",2.8,2.9,"1,516",33.2,0.0,2009
Mar009,JALways,Japan,"15,006",216.7,75.8,"16,019",252.1,0.1,2009
Mar009,Jetstar,Indonesia,"13,065",130.9,0.0,"13,631",15.6,0.5,2009
Mar009,Jetstar,Japan,"20,476",143.0,22.7,"20,782",149.6,7.6,2009
Mar009,Jetstar,New Zealand,"16,618",33.3,0.0,"16,013",27.4,0.0,2009
Mar009,Jetstar,Singapore,"10,701",24.6,0.0,"9,610",8.3,11.2,2009
Mar009,Jetstar,Thailand,"5,444",168.7,1.4,"5,065",91.4,1.1,2009
Mar009,Jetstar,USA,"2,879",53.1,1.1,"3,017",80.7,0.4,2009
Mar009,Jetstar,Vietnam,"2,267",13.1,0.0,"1,727",0.3,0.0,2009
Mar009,Korean Air,Korea,"10,009",848.3,110.4,"11,285",483.4,3.1,2009
Mar009,LAN Airlines,Chile,"2,983",167.6,1.0,"3,155",85.1,3.8,2009
Mar009,LAN Airlines,New Zealand,"1,933",34.3,0.0,"2,452",43.5,0.0,2009
Mar009,Malaysia Airlines,Indonesia,..,..,..,0,0.0,0.0,2009
Mar009,Malaysia Airlines,Malaysia,"29,568","2,029.1",12.7,"33,098","1,367.9",0.0,2009
Mar009,Our Airline,Nauru,275,0.2,0.0,285,10.8,0.0,2009
Mar009,Our Airline,Solomon Islands,412,0.0,0.0,498,0.0,0.0,2009
Mar009,OzJet,Indonesia,565,0.0,0.0,581,0.0,0.0,2009
Mar009,Pacific Air Express,Solomon Islands,..,2.2,0.0,..,42.4,0.0,2009
Mar009,Philippine Airlines,Philippines,"5,016",78.4,4.5,"5,319",46.9,1.7,2009
Mar009,Qantas Airways,Argentina,"3,104",20.7,0.0,"3,545",26.2,0.9,2009
Mar009,Qantas Airways,China,"7,084",615.3,24.0,"6,712",176.5,9.8,2009
Mar009,Qantas Airways,Germany,"3,563",115.2,3.9,"4,044",25.4,52.3,2009
Mar009,Qantas Airways,Hong Kong (SAR),"23,961","1,258.9",13.6,"23,508",821.5,66.6,2009
Mar009,Qantas Airways,India,"2,050",45.9,0.0,"1,900",18.2,4.4,2009
Mar009,Qantas Airways,Indonesia,"3,365",54.2,0.0,"3,138",156.2,3.0,2009
Mar009,Qantas Airways,Japan,"9,008",128.5,44.4,"10,140",139.7,65.7,2009
Mar009,Qantas Airways,Malaysia,..,..,..,..,0.0,0.0,2009
Mar009,Qantas Airways,New Caledonia,"2,076",2.0,0.2,"2,148",13.7,3.3,2009
Mar009,Qantas Airways,New Zealand,"53,301","1,312.1",0.0,"50,755","1,407.4",198.0,2009
Mar009,Qantas Airways,Philippines,"3,746",26.8,4.7,"3,566",53.8,2.0,2009
Mar009,Qantas Airways,Qatar,..,..,..,..,0.0,0.0,2009
Mar009,Qantas Airways,Singapore,"37,462","1,564.6",30.9,"37,446","2,025.2",163.2,2009
Mar009,Qantas Airways,South Africa,"6,796",91.6,4.5,"6,511",72.0,10.6,2009
Mar009,Qantas Airways,Thailand,"4,084",72.9,5.7,"3,993",212.1,14.6,2009
Mar009,Qantas Airways,UK,"15,817",376.5,55.2,"18,639",114.6,145.6,2009
Mar009,Qantas Airways,USA,"37,167","1,615.1",195.9,"43,585",471.4,188.1,2009
Mar009,Royal Brunei Airlines,Brunei,"4,398",45.1,0.1,"4,667",115.8,0.0,2009
Mar009,Royal Brunei Airlines,New Zealand,"1,579",54.8,0.0,904,50.1,0.0,2009
Mar009,Singapore Airlines,New Zealand,..,137.0,0.0,..,207.3,0.0,2009
Mar009,Singapore Airlines,Singapore,"87,665","4,621.1",125.8,"88,818","4,850.9",1.1,2009
Mar009,Solomon Airlines,Solomon Islands,361,4.7,0.0,435,4.6,0.0,2009
Mar009,South African Airways,South Africa,"4,771",30.4,6.5,"4,256",143.9,1.4,2009
Mar009,Tasman Cargo Airlines,New Zealand,..,290.7,0.0,..,264.4,0.0,2009
Mar009,Thai Airways International,Thailand,"35,488","1,387.5",154.4,"32,040","2,473.4",5.6,2009
Mar009,Tiger Airways,Singapore,"4,086",0.0,0.0,"3,947",0.0,0.0,2009
Mar009,United Airlines,USA,"15,491",79.3,65.4,"18,085",494.2,3.8,2009
Mar009,United Parcel Service,Hong Kong (SAR),..,..,..,..,5.7,0.0,2009
Mar009,United Parcel Service,Singapore,..,..,..,..,97.3,0.0,2009
Mar009,United Parcel Service,USA,..,959.0,0.0,..,..,..,2009
Mar009,V Australia,USA,"3,308",106.7,0.0,"4,649",86.1,0.0,2009
Mar009,Vietnam Airlines,Vietnam,"8,062",193.5,0.0,"6,829",164.3,0.0,2009
Mar009,Virgin Atlantic Airways,Hong Kong (SAR),"3,250",462.4,0.0,"2,551",236.1,0.0,2009
Mar009,Virgin Atlantic Airways,UK,"2,692",35.3,0.0,"3,992",29.7,0.0,2009
Mar009,Virgin Australia,Fiji,"8,253",5.0,0.0,"8,230",29.6,0.0,2009
Mar009,Virgin Australia,Indonesia,"7,105",0.0,0.0,"7,149",0.0,0.0,2009
Mar009,Virgin Australia,New Zealand,"36,886",34.5,0.0,"33,860",37.3,0.0,2009
Mar009,Virgin Australia,Papua New Guinea,835,0.0,0.0,923,7.5,0.0,2009
Mar009,Virgin Australia,Solomon Islands,837,0.0,0.0,757,3.7,0.0,2009
Mar009,Virgin Australia,Tonga,666,1.2,0.0,729,2.9,0.0,2009
Mar009,Virgin Australia,Vanuatu,"2,433",2.3,0.0,"2,303",6.4,0.0,2009
Mar009,Virgin Samoa,Western Samoa,"1,593",0.5,0.0,"1,452",1.2,0.0,2009
Apr009,Aerolineas Argentinas,Argentina,"1,809",3.9,0.8,"1,449",9.1,0.0,2009
Apr009,Aerolineas Argentinas,New Zealand,"2,192",41.0,0.0,"2,296",71.7,0.0,2009
Apr009,Air Austral,France,12,0.0,0.0,52,1.8,0.0,2009
Apr009,Air Austral,Reunion,346,1.5,0.0,329,1.3,0.0,2009
Apr009,Air Caledonie,New Caledonia,"3,691",4.2,0.4,"3,569",87.2,1.0,2009
